<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QQQ;5;16.06.2025;10:20:00;534.43;534.69;534.25;534.59;7683
QQQ;5;16.06.2025;10:25:00;534.58;534.7;534.34;534.54;8373
QQQ;5;16.06.2025;10:30:00;534.57;534.88;534.37;534.8;18918
QQQ;5;16.06.2025;10:35:00;534.85;535;534.74;534.94;19459
QQQ;5;16.06.2025;10:40:00;534.99;535.01;534.46;534.72;31591
QQQ;5;16.06.2025;10:45:00;534.74;534.86;534.395;534.85;12912
QQQ;5;16.06.2025;10:50:00;534.8;534.99;534.54;534.58;20535
QQQ;5;16.06.2025;10:55:00;534.53;534.68;534.39;534.44;13490
QQQ;5;16.06.2025;11:00:00;534.45;534.57;534.2;534.44;16058
QQQ;5;16.06.2025;11:05:00;534.48;534.8;534.35;534.62;8278
QQQ;5;16.06.2025;11:10:00;534.74;534.77;534.36;534.73;13064
QQQ;5;16.06.2025;11:15:00;534.74;534.92;534.64;534.74;11156
QQQ;5;16.06.2025;11:20:00;534.89;535.31;534.84;535.2;13839
QQQ;5;16.06.2025;11:25:00;535.19;535.33;535.06;535.33;11794
QQQ;5;16.06.2025;11:30:00;535.34;535.35;534.46;534.55;13705
QQQ;5;16.06.2025;11:35:00;534.51;534.92;534.51;534.72;9445
QQQ;5;16.06.2025;11:40:00;534.7;534.93;534.5;534.64;14684
QQQ;5;16.06.2025;11:45:00;534.63;534.845;534.63;534.71;2757
QQQ;5;16.06.2025;11:50:00;534.67;534.95;534.67;534.85;4087
QQQ;5;16.06.2025;11:55:00;534.715;534.79;534.24;534.26;8446
QQQ;5;16.06.2025;12:00:00;534.25;534.35;533.83;534.16;19074
QQQ;5;16.06.2025;12:05:00;534.15;534.48;533.92;534.055;17078
QQQ;5;16.06.2025;12:10:00;534.18;534.19;533.87;534.095;9777
QQQ;5;16.06.2025;12:15:00;534.2;534.53;534.11;534.48;4225
QQQ;5;16.06.2025;12:20:00;534.4;534.72;534.38;534.56;5067
QQQ;5;16.06.2025;12:25:00;534.49;534.61;534.16;534.23;9809
QQQ;5;16.06.2025;12:30:00;534.28;534.28;534;534.1;7876
QQQ;5;16.06.2025;12:35:00;534.11;534.21;534.05;534.085;4367
QQQ;5;16.06.2025;12:40:00;534.04;534.21;533.78;533.96;10348
QQQ;5;16.06.2025;12:45:00;533.98;533.98;533.58;533.65;6317
QQQ;5;16.06.2025;12:50:00;533.59;533.95;533.53;533.81;5817
QQQ;5;16.06.2025;12:55:00;533.8;534.38;533.785;534.215;14004
QQQ;5;16.06.2025;13:00:00;534.27;534.28;533.785;533.92;2770
QQQ;5;16.06.2025;13:05:00;533.95;534.1;533.81;534;4329
QQQ;5;16.06.2025;13:10:00;534.05;534.05;533.72;533.985;4546
QQQ;5;16.06.2025;13:15:00;534.02;534.1;533.69;533.79;6088
QQQ;5;16.06.2025;13:20:00;533.74;534.12;533.74;534.12;3685
QQQ;5;16.06.2025;13:25:00;534.21;534.49;534.2;534.4;16366
QQQ;5;16.06.2025;13:30:00;534.49;534.96;534.35;534.75;14956
QQQ;5;16.06.2025;13:35:00;534.805;535.06;534.58;534.75;15592
QQQ;5;16.06.2025;13:40:00;534.59;534.74;534.51;534.545;2654
QQQ;5;16.06.2025;13:45:00;534.47;534.73;534.41;534.415;10805
QQQ;5;16.06.2025;13:50:00;534.43;534.53;534.32;534.495;2883
QQQ;5;16.06.2025;13:55:00;534.5;534.66;534.25;534.25;4675
QQQ;5;16.06.2025;14:00:00;534.21;534.26;533.86;533.98;9208
QQQ;5;16.06.2025;14:05:00;533.98;534.3;533.945;534.27;9567
QQQ;5;16.06.2025;14:10:00;534.25;534.4;534.07;534.09;6296
QQQ;5;16.06.2025;14:15:00;534.15;534.18;533.99;534.18;3922
QQQ;5;16.06.2025;14:20:00;534.22;534.28;533.99;533.99;3498
QQQ;5;16.06.2025;14:25:00;534.08;534.34;533.89;534.34;7151
QQQ;5;16.06.2025;14:30:00;534.36;534.36;534.11;534.13;3286
QQQ;5;16.06.2025;14:35:00;534.18;534.22;533.85;533.97;8636
QQQ;5;16.06.2025;14:40:00;533.88;533.99;533.72;533.84;5154
QQQ;5;16.06.2025;14:45:00;533.9;533.94;533.75;533.86;9629
QQQ;5;16.06.2025;14:50:00;533.85;533.85;533.5;533.5;10692
QQQ;5;16.06.2025;14:55:00;533.5;533.96;533.33;533.95;19871
QQQ;5;16.06.2025;15:00:00;533.96;534.26;533.96;534.085;10259
QQQ;5;16.06.2025;15:05:00;534.04;534.15;533.87;533.99;12478
QQQ;5;16.06.2025;15:10:00;533.96;533.96;533.62;533.66;10511
QQQ;5;16.06.2025;15:15:00;533.63;533.92;533.44;533.69;15614
QQQ;5;16.06.2025;15:20:00;533.64;533.97;533.64;533.67;7909
QQQ;5;16.06.2025;15:25:00;533.65;534.37;533.46;534.13;81707
QQQ;5;16.06.2025;15:30:00;534.09;534.37;533.99;534.01;16225
QQQ;5;16.06.2025;15:35:00;534.04;534.15;533.71;533.8;11550
QQQ;5;16.06.2025;15:40:00;533.78;534.02;533.77;533.77;8188
QQQ;5;16.06.2025;15:45:00;533.77;533.98;533.77;533.96;5671
QQQ;5;16.06.2025;15:50:00;533.95;534.28;533.95;534.17;19680
QQQ;5;16.06.2025;15:55:00;534.14;534.24;533.56;534.01;32579
QQQ;5;16.06.2025;16:00:00;534.02;534.43;533.45;534.26;209041
QQQ;5;17.06.2025;9:35:00;531.71;532.75;531.49;532.02;31359
QQQ;5;17.06.2025;9:40:00;532.09;532.25;531.79;532.14;15929
QQQ;5;17.06.2025;9:45:00;532.22;532.36;530.89;531;29911
QQQ;5;17.06.2025;9:50:00;531.01;531.83;530.83;531.68;26244
QQQ;5;17.06.2025;9:55:00;531.37;532.44;531.285;532;14260
QQQ;5;17.06.2025;10:00:00;532;532.41;531.64;532.41;25044
QQQ;5;17.06.2025;10:05:00;532.44;532.83;531.86;531.96;31421
QQQ;5;17.06.2025;10:10:00;532.01;532.67;531.88;532.67;17444
QQQ;5;17.06.2025;10:15:00;532.73;533.19;532.61;533.18;29599
QQQ;5;17.06.2025;10:20:00;533.09;533.26;532.66;532.785;13816
QQQ;5;17.06.2025;10:25:00;532.8;532.96;532.42;532.54;12911
QQQ;5;17.06.2025;10:30:00;532.6;532.72;532.45;532.62;6047
QQQ;5;17.06.2025;10:35:00;532.55;532.79;532.52;532.63;9685
QQQ;5;17.06.2025;10:40:00;532.43;532.47;532.07;532.395;11487
QQQ;5;17.06.2025;10:45:00;532.38;532.39;531.98;532.15;10925
QQQ;5;17.06.2025;10:50:00;532.15;532.68;532.1;532.54;11038
QQQ;5;17.06.2025;10:55:00;532.58;532.74;532.29;532.38;8200
QQQ;5;17.06.2025;11:00:00;532.37;532.37;531.82;531.95;6844
QQQ;5;17.06.2025;11:05:00;531.93;532.62;531.88;532.54;10927
QQQ;5;17.06.2025;11:10:00;532.55;532.78;532.45;532.74;16406
QQQ;5;17.06.2025;11:15:00;532.71;533.32;532.71;533.28;12719
QQQ;5;17.06.2025;11:20:00;533.22;533.22;532.36;532.86;29946
QQQ;5;17.06.2025;11:25:00;532.85;532.91;532.46;532.57;13647
QQQ;5;17.06.2025;11:30:00;532.41;532.55;532.21;532.26;8111
QQQ;5;17.06.2025;11:35:00;532.24;532.4;532.03;532.27;9534
QQQ;5;17.06.2025;11:40:00;532.1;532.67;532.03;532.32;18951
QQQ;5;17.06.2025;11:45:00;532.39;532.93;532.37;532.93;11445
QQQ;5;17.06.2025;11:50:00;532.98;533.03;532.16;532.44;8471
QQQ;5;17.06.2025;11:55:00;532.6;532.96;532.58;532.85;7860
QQQ;5;17.06.2025;12:00:00;532.73;532.73;532.42;532.44;6419
QQQ;5;17.06.2025;12:05:00;532.46;533.11;532.46;532.97;9675
QQQ;5;17.06.2025;12:10:00;533.005;533.2;532.27;532.68;27848
QQQ;5;17.06.2025;12:15:00;532.71;533.2;532.71;533.11;11855
QQQ;5;17.06.2025;12:20:00;533.14;533.23;533.02;533.08;7209
QQQ;5;17.06.2025;12:25:00;533.13;533.24;532.8;532.87;6489
QQQ;5;17.06.2025;12:30:00;532.9;532.92;532.65;532.73;4719
QQQ;5;17.06.2025;12:35:00;532.7;533.015;532.56;533;7677
QQQ;5;17.06.2025;12:40:00;533.08;533.12;532.79;532.79;11318
QQQ;5;17.06.2025;12:45:00;532.75;532.77;531.85;532.09;28672
QQQ;5;17.06.2025;12:50:00;532.08;532.44;531.36;531.77;44405
QQQ;5;17.06.2025;12:55:00;531.85;531.97;531.34;531.61;31663
QQQ;5;17.06.2025;13:00:00;531.43;531.43;530.715;530.99;26193
QQQ;5;17.06.2025;13:05:00;530.86;531.23;530.46;531.05;22076
QQQ;5;17.06.2025;13:10:00;531.05;531.18;530.5;531.18;16735
QQQ;5;17.06.2025;13:15:00;531.19;531.46;531.1;531.33;13454
QQQ;5;17.06.2025;13:20:00;531.33;531.42;531.05;531.05;7310
QQQ;5;17.06.2025;13:25:00;531.06;531.14;530.61;531.14;17646
QQQ;5;17.06.2025;13:30:00;530.97;530.97;530.39;530.47;10030
QQQ;5;17.06.2025;13:35:00;530.39;530.99;529.89;530.93;22236
QQQ;5;17.06.2025;13:40:00;531.02;531.23;530.55;530.71;20418
QQQ;5;17.06.2025;13:45:00;530.62;531.03;530.18;530.23;26722
QQQ;5;17.06.2025;13:50:00;530.22;530.4;528.81;529.09;63940
QQQ;5;17.06.2025;13:55:00;529.175;529.57;528.69;529.42;27337
QQQ;5;17.06.2025;14:00:00;529.45;529.76;529.18;529.265;26031
QQQ;5;17.06.2025;14:05:00;529.09;529.09;528.37;528.62;37296
QQQ;5;17.06.2025;14:10:00;528.69;529.31;528.69;529.31;18934
QQQ;5;17.06.2025;14:15:00;529.27;529.5;528.95;529.06;12788
QQQ;5;17.06.2025;14:20:00;529.04;529.21;528.64;528.97;13405
QQQ;5;17.06.2025;14:25:00;528.96;529;528.61;528.77;6770
QQQ;5;17.06.2025;14:30:00;528.63;528.76;528.1;528.5;25573
QQQ;5;17.06.2025;14:35:00;528.5;529.15;528.5;529.13;24668
QQQ;5;17.06.2025;14:40:00;529.13;529.25;528.52;528.66;14006
QQQ;5;17.06.2025;14:45:00;528.73;528.73;527.94;528.52;17925
QQQ;5;17.06.2025;14:50:00;528.52;528.92;528.47;528.8;14056
QQQ;5;17.06.2025;14:55:00;528.67;528.99;528.55;528.97;5705
QQQ;5;17.06.2025;15:00:00;529;529.55;528.99;529.54;20835
QQQ;5;17.06.2025;15:05:00;529.59;529.66;528.99;529.03;32824
QQQ;5;17.06.2025;15:10:00;529.06;529.21;528.82;529.19;16717
QQQ;5;17.06.2025;15:15:00;529.19;529.54;528.98;529.35;17249
