<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPY;5;16.07.2025;14:55:00;623.75;623.88;623.7;623.87;30035
SPY;5;16.07.2025;15:00:00;623.85;624.35;623.84;624.34;78684
SPY;5;16.07.2025;15:05:00;624.34;624.51;624.08;624.08;79803
SPY;5;16.07.2025;15:10:00;624.01;624.25;623.96;624.22;35887
SPY;5;16.07.2025;15:15:00;624.2;624.24;623.98;624.06;29833
SPY;5;16.07.2025;15:20:00;624.06;624.07;623.83;623.99;60736
SPY;5;16.07.2025;15:25:00;623.98;624.09;623.85;623.96;32217
SPY;5;16.07.2025;15:30:00;623.95;624.21;623.95;624.16;60895
SPY;5;16.07.2025;15:35:00;624.12;624.12;623.89;623.99;54831
SPY;5;16.07.2025;15:40:00;623.97;624.47;623.91;624.43;83808
SPY;5;16.07.2025;15:45:00;624.42;624.73;624.37;624.56;110458
SPY;5;16.07.2025;15:50:00;624.53;624.7;624.33;624.68;85662
SPY;5;16.07.2025;15:55:00;624.66;624.7;624.1;624.25;141970
SPY;5;16.07.2025;16:00:00;624.27;624.48;624.07;624.2;350520
SPY;5;16.07.2025;16:05:00;624.18;624.18;624.18;624.18;100
SPY;5;17.07.2025;9:35:00;624.4;624.87;624.18;624.655;141290
SPY;5;17.07.2025;9:40:00;624.64;624.92;624.43;624.78;44083
SPY;5;17.07.2025;9:45:00;624.78;625.64;624.68;625.64;63822
SPY;5;17.07.2025;9:50:00;625.58;625.96;625.45;625.93;47968
SPY;5;17.07.2025;9:55:00;625.97;626.19;625.82;626.04;81896
SPY;5;17.07.2025;10:00:00;626.01;626.1;625.63;625.78;55090
SPY;5;17.07.2025;10:05:00;625.8;626.19;625.75;626.14;74751
SPY;5;17.07.2025;10:10:00;626.13;626.22;625.8;626.14;58721
SPY;5;17.07.2025;10:15:00;626.14;626.22;625.78;626.18;52806
SPY;5;17.07.2025;10:20:00;626.15;626.22;625.47;625.47;57086
SPY;5;17.07.2025;10:25:00;625.46;625.6;624.85;625.1;136775
SPY;5;17.07.2025;10:30:00;625.11;625.48;624.95;625.45;92062
SPY;5;17.07.2025;10:35:00;625.46;625.81;625.39;625.71;68248
SPY;5;17.07.2025;10:40:00;625.7;625.74;625.02;625.23;74198
SPY;5;17.07.2025;10:45:00;625.2;625.54;625.19;625.43;45280
SPY;5;17.07.2025;10:50:00;625.47;625.88;625.3;625.83;59018
SPY;5;17.07.2025;10:55:00;625.84;625.91;625.72;625.85;47063
SPY;5;17.07.2025;11:00:00;625.87;625.91;625.74;625.82;43756
SPY;5;17.07.2025;11:05:00;625.81;626.08;625.81;626.07;50031
SPY;5;17.07.2025;11:10:00;626.07;626.58;626.04;626.42;100713
SPY;5;17.07.2025;11:15:00;626.44;626.51;626.26;626.32;56555
SPY;5;17.07.2025;11:20:00;626.35;626.45;626.21;626.36;48932
SPY;5;17.07.2025;11:25:00;626.35;626.64;626.19;626.63;39600
SPY;5;17.07.2025;11:30:00;626.66;626.71;626.52;626.66;44627
SPY;5;17.07.2025;11:35:00;626.64;626.77;626.56;626.63;53265
SPY;5;17.07.2025;11:40:00;626.61;626.98;626.6;626.98;47992
SPY;5;17.07.2025;11:45:00;626.96;627.18;626.95;627.04;49656
SPY;5;17.07.2025;11:50:00;627.05;627.12;626.89;626.95;37893
